Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply
Coal, peat and oil shale;Crude, NGL and feedstocks;Electricity;Heat;Natural gas;Nuclear;Oil products;Renewables and waste;Total
1511;1557;13;0;98;0;-104;4735;7809
1507;1687;8;0;118;0;-91;4869;8099
1591;2002;8;0;144;0;-284;4979;8440
1667;1998;2;0;160;0;-201;5117;8743
1734;2130;1;0;176;0;-201;5265;9104
1825;2185;2;0;187;0;-91;5385;9494
1837;2306;5;0;223;0;-12;5521;9879
1933;2450;18;0;304;0;-17;5642;10331
2029;2568;27;0;463;0;-133;5788;10741
2164;3154;34;0;493;0;-447;5939;11337
2426;3169;9;0;583;0;-544;6117;11761
2745;3666;6;0;665;0;-729;6277;12630
2817;3533;17;0;757;0;-573;6422;12972
3025;3839;1;0;749;43;-759;6607;13505
3053;4085;2;0;843;58;-877;6794;13958
3210;4154;-2;0;973;96;-966;7001;14466
3373;4411;2;0;998;67;-1073;7187;14964
3417;4539;-2;0;1058;114;-1208;7402;15321
3219;4491;-3;0;1161;121;-1146;7626;15468
3107;4791;-6;0;1237;92;-1222;8104;16104
3271;4789;-7;0;1317;100;-1224;8322;16569
3038;4893;3;0;1376;101;-1174;8517;16755
3366;4865;-10;0;1491;79;-1268;8726;17249
3451;4877;-2;0;1503;106;-1360;9030;17604
3582;5119;-1;0;1565;123;-1407;9318;18299
3628;5352;61;0;1597;128;-1449;9558;18875
3706;5626;65;0;1678;138;-1621;9749;19341
3676;5352;50;0;1724;148;-1090;10013;19874
3764;5490;48;0;1898;140;-1271;10285;20354
3779;5297;48;1;1976;142;-1069;10359;20533
3804;5716;12;1;2195;117;-1408;10671;21108
3686;5720;6;2;2349;131;-1405;10948;21436
3996;5594;5;2;2617;138;-1072;11232;22511
4295;5571;5;2;2720;146;-695;11673;23717
4222;5833;5;2;3128;123;-744;11981;24549
4296;5573;13;0;3285;109;-305;12298;25269
4414;5665;16;0;3527;123;-77;12545;26214
4764;5757;17;0;3599;142;215;12874;27368
4657;5732;19;1;3583;140;717;13203;28052
4541;5712;14;8;3746;132;1087;13521;28762
4479;5458;21;4;4056;147;1740;13994;29900
4442;5121;30;4;4269;130;1828;14590;30415
4370;5138;34;4;4250;154;2091;14947;30989
4703;5684;36;4;4326;150;2428;15244;32576
4414;5022;21;3;4631;133;2594;15525;32346
4560;5116;27;4;4967;164;2744;15862;33444
4656;4919;27;4;5276;155;2788;16168;33994
4779;5079;24;5;5554;126;2550;16512;34630
4972;5206;2;5;5664;145;3072;16816;35882
4574;..;..;..;5592;..;..;..;..
884;1051;0;0;75;0;-40;191;2161
923;1029;0;0;108;0;-28;194;2226
946;1204;0;0;142;0;-91;189;2389
928;1208;0;0;162;0;-32;202;2467
998;1239;0;0;175;0;-93;208;2528
996;1267;0;0;188;0;-73;210;2589
1082;1343;0;0;237;0;-88;203;2776
998;1388;0;0;256;0;-64;204;2783
1034;1390;0;0;291;0;-73;204;2846
1144;1325;0;0;313;0;-66;199;2914
1155;1276;0;0;366;0;-75;212;2934
1196;1325;0;0;403;0;-80;217;3062
1170;1259;0;0;422;0;-129;210;2931
1226;1271;0;0;441;0;-116;206;3027
1261;1214;0;0;471;0;-110;216;3052
1237;1245;0;0;514;0;-102;204;3098
1332;1260;0;0;530;0;-81;203;3244
1347;1314;0;0;549;0;-111;209;3309
1464;1353;0;0;565;0;-81;216;3518
1461;1385;0;0;619;0;-78;220;3606
1519;1361;0;0;580;0;-121;225;3564
1542;1411;0;0;600;0;-129;206;3630
1573;1508;0;0;625;0;-125;238;3818
1554;1483;0;0;653;0;-100;233;3822
1570;1477;0;0;701;0;-114;239;3873
1703;1588;0;0;704;0;-115;263;4143
1856;1554;0;0;709;0;-153;275;4241
1973;1560;0;0;738;0;-186;266;4351
2014;1522;0;0;769;0;-128;270;4446
2016;1531;0;0;807;0;-102;274;4526
2019;1412;0;0;850;0;-131;277;4427
2035;1508;0;0;898;0;-147;289;4583
2016;1581;0;0;857;0;-100;284;4637
2089;1420;0;0;860;0;68;280;4717
2137;1422;0;0;794;0;123;275;4751
2165;1348;0;0;958;0;185;283;4938
2173;1381;0;0;1065;0;162;292;5073
2156;1343;0;0;1155;0;310;300;5265
2205;1277;0;0;1177;0;375;237;5272
2113;1336;0;0;1146;0;406;284;5285
2014;1439;0;0;1201;0;368;294;5316
1969;1368;0;0;1150;0;477;293;5258
1831;1319;0;0;1293;0;565;325;5333
1737;1255;0;0;1378;0;602;336;5307
1797;1082;0;0;1387;0;695;339;5300
1863;939;0;0;1281;0;858;351;5291
1872;890;0;0;1310;0;907;376;5354
1798;925;0;0;1363;0;921;383;5389
1744;910;0;0;1435;0;902;398;5390
1649;829;0;0;1605;0;932;468;5482
171;326;-9;0;119;0;95;87;788
161;352;-5;0;129;0;106;87;830
162;393;-6;0;138;0;114;98;899
171;371;-11;0;150;0;79;109;869
150;351;-16;0;150;0;94;114;842
163;398;-8;0;171;0;83;102;908
138;372;-14;0;174;0;99;119;886
138;418;-10;0;181;0;65;123;916
152;461;-14;0;181;0;69;143;992
153;453;-14;0;174;0;52;151;969
158;390;-16;0;163;0;61;164;918
150;342;-16;0;157;0;93;171;898
161;307;-13;0;160;0;114;171;900
183;325;-5;0;178;0;79;175;935
183;350;-6;0;191;0;60;189;967
163;353;-5;0;185;0;72;202;970
162;356;-20;0;193;0;91;226;1007
155;355;-10;0;184;0;67;267;1018
156;360;-8;0;197;0;54;243;1001
172;384;-2;0;219;0;50;219;1042
180;403;3;0;232;0;63;229;1109
140;412;2;0;228;0;43;241;1066
126;410;-3;0;240;0;54;250;1078
128;415;-3;0;247;0;44;244;1075
146;391;-9;0;270;0;69;256;1123
146;407;3;0;287;0;93;257;1193
154;436;-3;0;277;0;61;258;1185
136;424;-1;0;284;0;102;259;1205
133;406;-7;0;289;0;93;288;1202
151;377;-5;0;276;0;113;286;1198
156;404;1;0;292;0;121;291;1266
159;405;3;0;291;0;132;286;1276
170;389;20;0;314;0;184;269;1345
167;377;11;0;322;0;200;290;1367
168;387;9;0;339;0;190;314;1407
169;384;23;0;317;0;188;339;1421
162;380;22;0;299;0;167;363;1393
160;391;18;0;316;0;140;378;1403
120;366;3;0;309;0;136;400;1334
142;339;9;0;340;0;178;416;1423
146;363;30;0;321;0;120;400;1380
136;365;10;0;307;0;108;450;1376
139;370;26;0;296;0;117;446;1393
128;370;33;0;271;0;101;439;1342
136;376;36;0;289;0;99;438;1373
126;363;26;0;303;0;119;451;1389
130;354;24;0;326;0;130;451;1414
115;384;32;0;308;0;105;432;1376
117;402;11;0;321;0;100;446;1398
99;345;8;0;306;0;102;455;1316
425;1293;-2;0;197;0;-254;0;1661
445;1560;-2;0;249;0;-434;1;1819
468;1595;-3;0;299;1;-436;1;1926
521;1293;-1;0;350;2;-277;2;1889
394;1251;-3;0;346;74;-292;1;1772
424;1248;-12;0;366;109;-237;1;1900
407;1562;-5;0;360;130;-568;3;1889
439;1445;-10;0;357;137;-382;4;1988
476;1448;-4;0;390;124;-386;4;2052
477;1432;-9;0;373;137;-455;3;1958
464;1250;1;0;344;140;-381;4;1823
448;1065;1;0;287;171;-239;4;1737
411;986;-1;0;298;263;-248;6;1715
459;991;1;0;308;303;-278;6;1789
434;869;0;0;309;377;-151;8;1847
388;1118;-1;0;278;430;-309;10;1913
395;1138;-8;0;306;458;-346;10;1954
406;1104;-8;0;302;470;-307;10;1978
432;1140;-9;0;336;450;-370;18;1997
442;1131;-13;0;342;466;-396;33;2005
421;1269;-7;0;366;468;-455;34;2095
385;1244;0;0;379;474;-397;36;2121
356;1198;8;0;394;457;-378;33;2068
376;1203;14;0;405;443;-279;33;2196
363;1117;15;0;444;451;-196;39;2233
346;1343;15;0;495;473;-359;38;2351
334;1387;12;0;472;517;-402;38;2359
338;1450;5;0;522;504;-459;41;2401
296;1353;3;0;558;535;-387;44;2402
336;1432;16;0;560;525;-483;45;2431
311;1400;33;0;552;506;-438;52;2414
269;1415;27;0;560;517;-503;50;2335
252;1514;23;0;603;517;-532;60;2437
246;1469;28;0;610;516;-488;64;2445
217;1361;23;3;617;519;-378;69;2432
207;1357;37;3;631;509;-423;82;2402
185;1387;24;3;627;526;-489;93;2355
191;1400;38;3;621;497;-430;107;2427
131;1260;-7;1;631;515;-328;125;2328
159;1307;2;8;701;523;-339;153;2513
147;1208;9;6;603;526;-315;154;2339
135;1269;36;8;602;440;-418;170;2243
151;1175;35;10;606;465;-282;177;2337
142;1369;63;10;529;368;-449;171;2203
142;1343;76;9;584;285;-424;182;2197
134;1310;22;11;596;475;-413;192;2327
130;1394;22;11;609;461;-507;197;2317
